"","X","favorite_count","id","retweet_count","timestamp","user_follower_count","user_id","user_screen_name","true_indicator","original_tweet","polarity","subjectivity","cat_polarity"
"1",3,45,9.89e+17,22,"Thu Apr 26 04:00:06 +0000 2018",1927191,17899109,"b'gatesfoundation'",1,"Exciting news: Our own @JohnFModlin received the 2018 Dr. Charles Mv©rieux Award for his work on vaccines to #EndPolio and other diseases. #VaccinesWork @NFIDvaccines https://t.co/WWOB8msZZZ",0.3,0.8,"positive"
"2",8,83,9.82e+17,36,"Fri Apr 06 20:00:09 +0000 2018",1927191,17899109,"b'gatesfoundation'",1,"Improving vaccination coverage and making immunization systems work better is what this grant is all about. 

If you're interested in discovering new ways to collect and use data for that cause, there's 1 month left to apply ‚û°Ô<U+220F>è https://t.co/h1IiPG6fHh",0.221590909,0.363636364,"positive"
"3",11,78,9.79e+17,38,"Tue Mar 27 16:45:38 +0000 2018",1927191,17899109,"b'gatesfoundation'",1,"Drugs and vaccines are crucial tools to combat TB. New research suggests preventative measures can lift vulnerable communities far enough out of poverty that they never contract the disease. [<U+F8FF>üì8: @guardian] https://t.co/nC7GOjO3cO",-0.052727273,0.690909091,"negative"
"4",13,12,1e+18,18,"Tue Jun 05 15:01:30 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"Travelling? A vaccine-preventable illness is a souvenir that nobody wants. Check here to see which vaccines are recommended for your trip: https://t.co/bgsb9zXVfO #traveltuesday https://t.co/xNmOv4CmAR",0.2,0.1,"positive"
"5",14,32,1e+18,37,"Mon Jun 04 14:00:01 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"Diseases like #smallpox and #polio have been completely wiped out in Canada because of #vaccines. See how effective vaccines are:  https://t.co/7H2WMqTssJ https://t.co/zNgDLL4t4i",0.35,0.6,"positive"
"6",15,7,1e+18,5,"Fri May 25 21:00:14 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"Thanks for the facts on shingles @ImmunizedotCa and the importance of #vaccination. You can learn more about shingles at https://t.co/9OmkPwBoYc 
 https://t.co/aMHthA7fpb",0.2,0.2,"positive"
"7",16,23,1e+18,22,"Thu May 24 17:00:36 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"You protect your children every day. So do vaccines. #Vaccines strengthen your child‚Äôs defence by helping create antibodies that can fight off germs that make them sick. Get the facts: https://t.co/nwgZds6OVY https://t.co/XfUmHoqGZp",-0.714285714,0.857142857,"negative"
"8",17,12,9.99e+17,5,"Wed May 23 16:45:13 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"Congratulations to our #PHACSci scientists! This is #GoC innovation in action ‚Äì developing a vaccine for Ebola to protect people around the world. 
 https://t.co/GW5yZjrFLI",0.1,0.1,"positive"
"9",18,4,9.97e+17,6,"Wed May 16 22:00:29 +0000 2018",220622,36375825,"b'GovCanHealth'",1,"Have questions about travel vaccines? Download the free @CANImmunize app to learn about vaccines you may need before you travel abroad: https://t.co/02vrzDE41m https://t.co/z98unV2rAR",0.4,0.8,"positive"
"10",19,27,1e+18,16,"Mon Jun 04 20:39:02 +0000 2018",2349882,22708797,"b'HarvardHealth'",1,"Ask the doc: Should I get the new shingles vaccine? https://t.co/v9td67QU5X #HarvardHealth https://t.co/3orswYh8y4",0.136363636,0.454545455,"positive"
"11",20,30,1e+18,18,"Mon Jun 04 16:15:07 +0000 2018",2349882,22708797,"b'HarvardHealth'",1,"Ask the doc: Should I get the new shingles vaccine? https://t.co/ZpAxca0cQi #HarvardHealth #vaccines https://t.co/2RgWbY0ft4",0.136363636,0.454545455,"positive"
"12",21,23,9.89e+17,31,"Wed Apr 25 23:15:11 +0000 2018",2349882,22708797,"b'HarvardHealth'",1,"One in four children is missing at least one recommended vaccine.
https://t.co/6B5s4JhkuA #HarvardHealth #NIIW https://t.co/ip2GgX9o8t",-0.25,0.225,"negative"
"13",22,15,1e+18,13,"Sat Jun 02 14:30:00 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"Dr Richard Roberts explains how the establishment of the NHS led to a national vaccine programme and the eradication of smallpox #NHSCymru70 #NHS70 https://t.co/11zQ51zZ2T",0,0,"neutral"
"14",23,2,1e+18,3,"Fri Jun 01 16:00:00 +0000 2018",14522,394581961,"b'PublicHealthW'",1,"In 2006, a vaccine was introduced against invasive pneumococcal disease caused by 13 vaccine serotypes #NHSCymru70 #NHS70 https://t.co/VJHf8JvWQA",0,0,"neutral"
